Time(s),HeartRate(1/min),Glucose-BloodConcentration(mg/dL),RespirationRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),AchievedExerciseLevel
195.02,72.693893,95.500093,15.873016,113.980969,75.300643,0,0
196.02,72.709923,95.512495,15.873016,113.983485,75.297144,0,0
197.02,72.694335,95.524430,15.873016,113.978276,75.298890,0,0
198.02,72.677758,95.535718,15.873016,113.975922,75.302578,0,0
199.02,72.681823,95.546869,15.873016,113.979125,75.303172,0,0
200.02,72.702890,95.558558,15.873016,113.982204,75.298428,0,0
201.02,72.683532,95.570864,15.873016,113.977793,75.301741,0,0
202.02,72.675832,95.582855,15.873016,113.978225,75.304297,0,0
203.02,72.692264,95.594175,15.873016,113.983465,75.302265,0,0
204.02,72.708284,95.605189,15.873016,113.985990,75.298783,0,0
205.02,72.692686,95.616599,15.873016,113.980790,75.300542,0,0
206.02,72.680139,95.628723,15.873016,113.981649,75.304852,0,0
207.02,72.704158,95.640754,15.873016,113.987513,75.300873,0,0
208.02,72.701179,95.652150,15.873016,113.984745,75.300141,0,0
209.02,72.681811,95.663077,15.873016,113.980340,75.303467,0,0
210.02,72.674092,95.674224,15.873016,113.980776,75.306037,0,0
211.02,72.706512,95.686097,15.873016,113.988555,75.300557,0,0
212.02,72.690907,95.698151,15.873016,113.983363,75.302328,0,0
213.02,72.674301,95.709627,15.873016,113.981019,75.306041,0,0
214.02,72.678327,95.720505,15.873016,113.984230,75.306666,0,0
215.02,72.702327,95.731441,15.873016,113.990100,75.302705,0,0
216.02,72.679965,95.743039,15.873016,113.982942,75.305323,0,0
217.02,72.672230,95.755055,15.873016,113.983381,75.307906,0,0
218.02,72.688623,95.766591,15.873016,113.988631,75.305908,0,0
219.02,72.704621,95.777486,15.873016,113.991173,75.302458,0,0
220.02,72.689009,95.788258,15.873016,113.985988,75.304241,0,0
221.02,72.676398,95.799557,15.873016,113.986862,75.308604,0,0
222.02,72.700382,95.811465,15.873016,113.992738,75.304659,0,0
223.02,72.697394,95.823076,15.873016,113.989988,75.303954,0,0
224.02,72.678007,95.834031,15.873016,113.985594,75.307300,0,0
225.02,72.670257,95.844663,15.873016,113.986036,75.309894,0,0
226.02,72.686632,95.855674,15.873016,113.991290,75.307911,0,0
227.02,72.687003,95.867417,15.873016,113.988661,75.306269,0,0
228.02,72.670373,95.879087,15.873016,113.986325,75.310003,0,0
229.02,72.674365,95.890108,15.873016,113.989543,75.310654,0,0
230.02,72.698333,95.900654,15.873016,113.995423,75.306726,0,0
231.02,72.695341,95.911434,15.873016,113.992682,75.306032,0,0
232.02,72.668183,95.922938,15.873016,113.988738,75.311991,0,0
233.02,72.684541,95.934616,15.873016,113.993995,75.310023,0,0
234.02,72.700522,95.945720,15.873016,113.996552,75.306603,0,0
235.02,72.684900,95.956245,15.873016,113.991382,75.308405,0,0
236.02,72.668260,95.966820,15.873016,113.989049,75.312147,0,0
237.02,72.696190,95.978037,15.873016,113.998156,75.308898,0,0
238.02,72.693195,95.989688,15.873016,113.995423,75.308215,0,0
239.02,72.673795,96.000880,15.873016,113.991040,75.311579,0,0
240.02,72.666018,96.011421,15.873016,113.991490,75.314195,0,0
241.02,72.682358,96.021821,15.873016,113.996753,75.312243,0,0
242.02,72.682700,96.032756,15.873016,113.994159,75.310655,0,0
243.02,72.666048,96.044318,15.873016,113.991834,75.314411,0,0
244.02,72.670005,96.055578,15.873016,113.995062,75.315092,0,0
245.02,72.693936,96.066175,15.873016,114.000958,75.311203,0,0
246.02,72.690931,96.076463,15.873016,113.998240,75.310540,0,0
247.02,72.671517,96.087130,15.873016,113.993869,75.313920,0,0
248.02,72.680035,96.098513,15.873016,113.999601,75.314629,0,0
249.02,72.695989,96.109828,15.873016,114.002184,75.311252,0,0
250.02,72.680345,96.120517,15.873016,113.997038,75.313086,0,0
251.02,72.663675,96.130730,15.873016,113.994723,75.316860,0,0
252.02,72.667608,96.141154,15.873016,113.997962,75.317565,0,0
253.02,72.688497,96.152307,15.873016,114.001169,75.313062,0,0
254.02,72.669069,96.163658,15.873016,113.996810,75.316461,0,0
255.02,72.661251,96.174432,15.873016,113.997279,75.319117,0,0
256.02,72.677542,96.184610,15.873016,114.002563,75.317215,0,0
257.02,72.693480,96.194845,15.873016,114.005160,75.313862,0,0
258.02,72.661140,96.205733,15.873016,113.997725,75.319506,0,0
259.02,72.665052,96.217053,15.873016,114.000972,75.320232,0,0
260.02,72.688937,96.227908,15.873016,114.006893,75.316396,0,0
261.02,72.685912,96.238125,15.873016,114.004207,75.315774,0,0
262.02,72.666473,96.248208,15.873016,113.999860,75.319189,0,0
263.02,72.674910,96.258805,15.873016,114.005632,75.319983,0,0
264.02,72.690835,96.270027,15.873016,114.008243,75.316652,0,0
265.02,72.675173,96.280971,15.873016,114.003126,75.318522,0,0
266.02,72.658475,96.291258,15.873016,114.000832,75.322328,0,0
267.02,72.662371,96.301218,15.873016,114.004089,75.323073,0,0
268.02,72.686238,96.311553,15.873016,114.010022,75.319260,0,0
269.02,72.663759,96.322622,15.873016,114.003015,75.322086,0,0
270.02,72.655912,96.333628,15.873016,114.003503,75.324775,0,0
271.02,72.672164,96.343991,15.873016,114.008808,75.322918,0,0
272.02,72.688079,96.353884,15.873016,114.011433,75.319609,0,0
273.02,72.672411,96.364003,15.873016,114.006330,75.321493,0,0
274.02,72.659583,96.374838,15.873016,114.007313,75.326077,0,0
275.02,72.683434,96.385869,15.873016,114.013258,75.322287,0,0
276.02,72.680398,96.396336,15.873016,114.010603,75.321702,0,0
277.02,72.660944,96.406218,15.873016,114.006279,75.325143,0,0
278.02,72.653084,96.416140,15.873016,114.006776,75.327848,0,0
279.02,72.685225,96.426699,15.873016,114.014731,75.322723,0,0
280.02,72.669553,96.437716,15.873016,114.009642,75.324622,0,0
281.02,72.652836,96.448279,15.873016,114.007369,75.328455,0,0
282.02,72.656702,96.458189,15.873016,114.010644,75.329235,0,0
283.02,72.680537,96.467961,15.873016,114.016601,75.325468,0,0
284.02,72.658038,96.478257,15.873016,114.009650,75.328353,0,0
285.02,72.650166,96.489183,15.873016,114.010155,75.331071,0,0
286.02,72.666387,96.499819,15.873016,114.015481,75.329254,0,0
287.02,72.682284,96.509803,15.873016,114.018135,75.325987,0,0
288.02,72.666608,96.519475,15.873016,114.013059,75.327899,0,0
289.02,72.649883,96.529514,15.789474,114.010796,75.331744,0,0
290.02,72.677937,96.540271,15.789474,114.020140,75.328732,0,0
291.02,72.676042,96.550984,15.789474,114.017760,75.327975,0,0
292.02,72.656948,96.561069,15.789474,114.013481,75.331359,0,0
293.02,72.648804,96.570674,15.789474,114.013980,75.334192,0,0
294.02,72.664512,96.580488,15.789474,114.019376,75.332625,0,0
295.02,72.667197,96.591035,15.789474,114.017960,75.331263,0,0
296.02,72.649800,96.601798,15.789474,114.015805,75.335489,0,0
297.02,72.652182,96.611991,15.789474,114.019232,75.336950,0,0
298.02,72.675588,96.621596,15.789474,114.025743,75.333801,0,0
299.02,72.674778,96.631257,15.789474,114.024214,75.333373,0,0
300.02,72.645092,96.641560,15.789474,114.020782,75.340894,0,0
301.02,72.658865,96.652312,15.789474,114.026341,75.340193,0,0
302.02,72.677256,96.662618,15.789474,114.030456,75.337259,0,0
303.02,72.662427,96.672294,15.789474,114.025990,75.339509,0,0
304.02,72.643987,96.681831,15.789474,114.023774,75.344148,0,0
305.02,72.667451,96.691876,15.789474,114.033644,75.343353,0,0
306.02,72.668239,96.702561,15.789474,114.032582,75.342785,0,0
307.02,72.648581,96.712980,15.789474,114.028379,75.346614,0,0
308.02,72.637630,96.722741,15.789474,114.028585,75.350346,0,0
309.02,72.650282,96.732175,15.789474,114.033834,75.349832,0,0
310.02,72.670087,96.741984,15.789474,114.038245,75.346649,0,0
311.02,72.637612,96.752527,15.789474,114.031126,75.352977,0,0
312.02,72.637480,96.763019,15.789474,114.033993,75.354952,0,0
313.02,72.659883,96.772873,15.789474,114.040406,75.352115,0,0
314.02,72.662777,96.782259,15.789474,114.039682,75.351043,0,0
315.02,72.643635,96.791858,15.789474,114.035220,75.354498,0,0
316.02,72.643749,96.802166,15.789474,114.039941,75.357639,0,0
317.02,72.664914,96.812686,15.789474,114.044638,75.354143,0,0
318.02,72.652344,96.822651,15.789474,114.040170,75.355600,0,0
319.02,72.633512,96.832027,15.873016,114.037266,75.359835,0,0
320.02,72.632444,96.841435,15.873016,114.039794,75.361823,0,0
321.02,72.657928,96.851475,15.873016,114.045500,75.357731,0,0
322.02,72.638755,96.861978,15.873016,114.040846,75.361005,0,0
323.02,72.626543,96.872030,15.873016,114.040323,75.364541,0,0
324.02,72.637716,96.881429,15.873016,114.044983,75.363977,0,0
325.02,72.658732,96.890685,15.873016,114.049463,75.360297,0,0
326.02,72.627547,96.900453,15.873016,114.041469,75.365267,0,0
327.02,72.626808,96.910849,15.873016,114.043605,75.366755,0,0
328.02,72.649128,96.920963,15.873016,114.049462,75.363374,0,0
329.02,72.653556,96.930424,15.873016,114.048494,75.361424,0,0
330.02,72.635207,96.939561,15.873016,114.043428,75.363996,0,0
331.02,72.623851,96.949050,15.873016,114.042505,75.366828,0,0
332.02,72.657651,96.959254,15.873016,114.050963,75.361302,0,0
333.02,72.645827,96.969426,15.873016,114.045970,75.361909,0,0
334.02,72.627743,96.978967,15.873016,114.042524,75.365281,0,0
335.02,72.627483,96.988018,15.873016,114.044535,75.366410,0,0
336.02,72.650170,96.997271,15.873016,114.050331,75.362761,0,0
337.02,72.636649,97.007244,15.873016,114.044335,75.363115,0,0
338.02,72.625352,97.017437,15.873016,114.043499,75.365929,0,0
339.02,72.637339,97.027059,15.873016,114.047912,75.364740,0,0
340.02,72.659033,97.036094,15.873016,114.052217,75.360546,0,0
341.02,72.647054,97.045174,15.873016,114.047379,75.361298,0,0
342.02,72.628280,97.054880,15.873016,114.046281,75.366185,0,0
343.02,72.650712,97.065044,15.873016,114.052245,75.362758,0,0
344.02,72.655116,97.074769,15.873016,114.051432,75.360865,0,0
345.02,72.636636,97.083858,15.873016,114.046565,75.363585,0,0
346.02,72.625058,97.092797,15.873016,114.045875,75.366638,0,0
347.02,72.658194,97.102236,15.873016,114.054849,75.361720,0,0
348.02,72.645959,97.112327,15.873016,114.050124,75.362693,0,0
349.02,72.627432,97.122160,15.873016,114.046944,75.366455,0,0
350.02,72.626712,97.131333,15.873016,114.049216,75.367987,0,0
351.02,72.648927,97.140179,15.873016,114.055261,75.364750,0,0
352.02,72.653133,97.149395,15.873016,114.054522,75.363035,0,0
353.02,72.622726,97.159341,15.873016,114.049086,75.369121,0,0
354.02,72.634280,97.169252,15.873016,114.053684,75.368312,0,0
355.02,72.655561,97.178537,15.873016,114.058160,75.364484,0,0
356.02,72.643199,97.187354,15.873016,114.053479,75.365579,0,0
357.02,72.624556,97.196376,15.873016,114.050337,75.369451,0,0
358.02,72.645841,97.206105,15.873016,114.058720,75.367954,0,0
359.02,72.649958,97.216069,15.873016,114.058014,75.366332,0,0
360.02,72.631218,97.225484,15.873016,114.053241,75.369295,0,0
361.02,72.619398,97.234308,15.873016,114.052631,75.372574,0,0
362.02,72.630882,97.243161,15.873016,114.057252,75.371839,0,0
363.02,72.639684,97.252651,15.873016,114.057097,75.369240,0,0
364.02,72.620991,97.262621,15.873016,114.053975,75.373166,0,0
365.02,72.620112,97.272145,15.873016,114.056298,75.374856,0,0
366.02,72.642179,97.281023,15.873016,114.062394,75.371778,0,0
367.02,72.646259,97.289763,15.873016,114.061709,75.370204,0,0
368.02,72.615634,97.299008,15.873016,114.056358,75.376522,0,0
369.02,72.627083,97.308893,15.873016,114.060994,75.375828,0,0
370.02,72.648270,97.318519,15.873016,114.065511,75.372115,0,0
371.02,72.635834,97.327502,15.873016,114.060873,75.373301,0,0
372.02,72.617120,97.336160,15.873016,114.057763,75.377253,0,0
373.02,72.616218,97.345167,15.873016,114.060097,75.378970,0,0
374.02,72.642325,97.354903,15.873016,114.065539,75.374379,0,0
375.02,72.623540,97.364625,15.873016,114.060797,75.377401,0,0
376.02,72.611672,97.373719,15.873016,114.060210,75.380735,0,0
377.02,72.623104,97.382326,15.873016,114.064856,75.380064,0,0
378.02,72.644275,97.391141,15.873016,114.069388,75.376378,0,0
379.02,72.613109,97.400676,15.873016,114.061665,75.381546,0,0
380.02,72.612195,97.410444,15.873016,114.064007,75.383280,0,0
381.02,72.634223,97.419649,15.873016,114.070128,75.380258,0,0
382.02,72.638280,97.428273,15.873016,114.069475,75.378731,0,0
383.02,72.619491,97.436935,15.873016,114.064745,75.381763,0,0
384.02,72.619034,97.446215,15.873016,114.068822,75.384455,0,0
385.02,72.640195,97.455970,15.873016,114.073367,75.380790,0,0
386.02,72.627750,97.465298,15.873016,114.068758,75.382006,0,0
387.02,72.609023,97.473987,15.873016,114.065668,75.385978,0,0
388.02,72.608099,97.482517,15.873016,114.068019,75.387724,0,0
389.02,72.634169,97.491547,15.873016,114.073513,75.383209,0,0
390.02,72.615378,97.501235,15.873016,114.068796,75.386250,0,0
391.02,72.603495,97.510667,15.873016,114.068226,75.389603,0,0
392.02,72.614905,97.519440,15.873016,114.072890,75.388965,0,0
393.02,72.636058,97.527890,15.873016,114.077449,75.385319,0,0
394.02,72.623612,97.536702,15.873016,114.072855,75.386545,0,0
395.02,72.603949,97.546240,15.873016,114.072134,75.392280,0,0
396.02,72.625956,97.555751,15.873016,114.078278,75.389296,0,0
397.02,72.630006,97.564643,15.873016,114.077655,75.387799,0,0
398.02,72.611213,97.573062,15.873016,114.072950,75.390846,0,0
399.02,72.599325,97.581674,15.873016,114.072390,75.394207,0,0
400.02,72.631870,97.590993,15.873016,114.081636,75.389957,0,0
401.02,72.619423,97.600564,15.873016,114.077058,75.391192,0,0
402.02,72.600690,97.609584,15.873016,114.073988,75.395177,0,0
403.02,72.599750,97.618007,15.873016,114.076356,75.396944,0,0
404.02,72.621746,97.626460,15.873016,114.082511,75.393978,0,0
405.02,72.607000,97.635544,15.873016,114.077212,75.395550,0,0
406.02,72.595106,97.645110,15.873016,114.076661,75.398918,0,0
407.02,72.606496,97.654235,15.873016,114.081345,75.398309,0,0
408.02,72.627633,97.662721,15.873016,114.085931,75.394701,0,0
409.02,72.615186,97.671066,15.873016,114.081368,75.395945,0,0
410.02,72.595502,97.679904,15.873016,114.080686,75.401713,0,0
411.02,72.617488,97.689386,15.873016,114.086853,75.398766,0,0
412.02,72.621533,97.698622,15.873016,114.086261,75.397297,0,0
413.02,72.602737,97.707214,15.873016,114.081582,75.400358,0,0
414.02,72.590838,97.715474,15.873016,114.081040,75.403734,0,0
415.02,72.602219,97.724078,15.873016,114.085734,75.403139,0,0
416.02,72.610900,97.733420,15.873016,114.085787,75.400803,0,0
417.02,72.592161,97.742754,15.873016,114.082738,75.404799,0,0
418.02,72.591206,97.751457,15.873016,114.085123,75.406587,0,0
419.02,72.613181,97.759676,15.873016,114.091302,75.403657,0,0
420.02,72.617223,97.768101,15.873016,114.090726,75.402203,0,0
421.02,72.586521,97.777237,15.873016,114.085527,75.408653,0,0
422.02,72.597893,97.786613,15.873016,114.090230,75.408072,0,0
423.02,72.619014,97.795437,15.873016,114.094844,75.404501,0,0
424.02,72.606566,97.803683,15.873016,114.090312,75.405764,0,0
425.02,72.587823,97.811957,15.873016,114.087273,75.409765,0,0
426.02,72.608826,97.820843,15.873016,114.095857,75.408651,0,0
427.02,72.612865,97.830216,15.873016,114.095296,75.407210,0,0
428.02,72.594066,97.839168,15.873016,114.090643,75.410283,0,0
429.02,72.582157,97.847475,15.873016,114.090118,75.413673,0,0
430.02,72.593519,97.855623,15.873016,114.094831,75.413105,0,0
431.02,72.602184,97.864272,15.873016,114.094940,75.410824,0,0
432.02,72.583439,97.873581,15.873016,114.091911,75.414830,0,0
433.02,72.582468,97.882638,15.873016,114.094313,75.416637,0,0
434.02,72.604424,97.891039,15.873016,114.100514,75.413742,0,0
435.02,72.608460,97.899120,15.873016,114.099968,75.412314,0,0
436.02,72.589660,97.907552,15.873016,114.095326,75.415393,0,0
437.02,72.589099,97.916706,15.873016,114.099531,75.418234,0,0
438.02,72.610204,97.925850,15.873016,114.104170,75.414698,0,0
439.02,72.597756,97.934381,15.873016,114.099667,75.415978,0,0
440.02,72.579008,97.942433,15.873016,114.096647,75.419988,0,0
441.02,72.578030,97.950671,15.873016,114.099056,75.421804,0,0
442.02,72.604009,97.959618,15.873016,114.104735,75.417511,0,0
443.02,72.585209,97.968826,15.873016,114.100105,75.420594,0,0
444.02,72.573289,97.977482,15.873016,114.099595,75.423995,0,0
445.02,72.584634,97.985541,15.873016,114.104325,75.423453,0,0
446.02,72.605732,97.993634,15.873016,114.108977,75.419934,0,0
447.02,72.574532,98.002352,15.873016,114.101475,75.425234,0,0
448.02,72.573547,98.011555,15.873016,114.103892,75.427059,0,0
