Time(s),HeartRate(1/min),RespirationRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),MeanArterialPressure(mmHg),OxygenSaturation,CoreTemperature(degC),CardiacOutput(L/min),HeartStrokeVolume(mL),TidalVolume(mL),ArterialBloodPH,AchievedExerciseLevel,Glucose-BloodConcentration(mg/dL)
3230.14,93.93,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.14,7.44,0,74.79,0
3231.14,93.93,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.26,7.44,0,74.80,0
3232.14,93.96,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.26,7.44,0,74.81,0
3233.14,93.96,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.26,7.44,0,74.82,0
3234.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.26,7.44,0,74.83,0
3235.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.37,7.44,0,74.84,0
3236.14,93.94,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.37,7.44,0,74.85,0
3237.14,93.96,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.37,7.44,0,74.86,0
3238.14,93.93,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.37,7.44,0,74.87,0
3239.14,93.91,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.48,7.44,0,74.88,0
3240.14,93.93,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.48,7.44,0,74.89,0
3241.14,93.95,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.48,7.44,0,74.90,0
3242.14,93.93,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.48,7.44,0,74.91,0
3243.14,93.91,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.59,7.44,0,74.92,0
3244.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.59,7.44,0,74.93,0
3245.14,93.95,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.59,7.44,0,74.94,0
3246.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.59,7.44,0,74.95,0
3247.14,93.90,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.70,7.44,0,74.96,0
3248.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.70,7.44,0,74.97,0
3249.14,93.94,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.70,7.44,0,74.98,0
3250.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.70,7.44,0,74.99,0
3251.14,93.90,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.70,7.44,0,75.00,0
3252.14,93.91,14.42,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.63,7.44,0,75.01,0
3253.14,93.93,14.42,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.63,7.44,0,75.02,0
3254.14,93.93,14.42,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.63,7.44,0,75.03,0
3255.14,93.90,14.42,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.63,7.44,0,75.04,0
3256.14,93.90,14.42,123.0,88.9,106.6,0.980,36.42,6.37,67.8,532.09,7.44,0,75.05,0
3257.14,93.93,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.8,532.09,7.44,0,75.05,0
3258.14,93.93,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.8,532.09,7.44,0,75.06,0
3259.14,93.90,14.42,123.0,88.9,106.6,0.980,36.42,6.37,67.8,532.09,7.44,0,75.07,0
3260.14,93.89,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.8,532.18,7.44,0,75.08,0
3261.14,93.92,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.9,532.18,7.44,0,75.09,0
3262.14,93.92,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.9,532.18,7.44,0,75.10,0
3263.14,93.90,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.9,532.18,7.44,0,75.11,0
3264.14,93.89,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.9,532.27,7.44,0,75.12,0
3265.14,93.90,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.9,532.27,7.44,0,75.13,0
3266.14,93.92,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.27,7.44,0,75.14,0
3267.14,93.90,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.27,7.44,0,75.15,0
3268.14,93.88,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.34,7.44,0,75.16,0
3269.14,93.89,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.34,7.44,0,75.17,0
3270.14,93.92,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.34,7.44,0,75.18,0
3271.14,93.89,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.34,7.44,0,75.18,0
3272.14,93.87,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.41,7.44,0,75.19,0
3273.14,93.89,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.41,7.44,0,75.20,0
3274.14,93.91,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.41,7.44,0,75.21,0
3275.14,93.89,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.41,7.44,0,75.22,0
3276.14,93.87,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.47,7.44,0,75.23,0
3277.14,93.88,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.47,7.44,0,75.24,0
3278.14,93.91,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.47,7.44,0,75.25,0
3279.14,93.90,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.47,7.44,0,75.26,0
3280.14,93.86,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.47,7.44,0,75.26,0
3281.14,93.87,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.52,7.44,0,75.27,0
3282.14,93.90,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.52,7.44,0,75.28,0
3283.14,93.90,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.52,7.44,0,75.29,0
3284.14,93.86,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.52,7.44,0,75.30,0
3285.14,93.86,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.56,7.44,0,75.31,0
3286.14,93.89,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.56,7.44,0,75.32,0
3287.14,93.89,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.56,7.44,0,75.32,0
3288.14,93.87,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.56,7.44,0,75.33,0
3289.14,93.86,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.59,7.44,0,75.34,0
3290.14,93.87,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.59,7.44,0,75.35,0
3291.14,93.89,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.59,7.44,0,75.36,0
3292.14,93.87,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.59,7.44,0,75.36,0
3293.14,93.85,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.63,7.44,0,75.37,0
3294.14,93.88,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.63,7.44,0,75.38,0
3295.14,93.89,14.42,123.1,89.0,106.7,0.979,36.42,6.38,67.9,532.63,7.44,0,75.39,0
3296.14,93.86,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.63,7.44,0,75.39,0
3297.14,93.84,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.65,7.44,0,75.40,0
3298.14,93.86,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.65,7.44,0,75.41,0
3299.14,93.88,14.42,123.1,89.0,106.7,0.979,36.42,6.38,67.9,532.65,7.44,0,75.42,0
3300.14,93.86,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.65,7.44,0,75.42,0
3301.14,93.84,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.68,7.44,0,75.43,0
3302.14,93.85,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.68,7.44,0,75.44,0
3303.14,93.88,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.68,7.44,0,75.44,0
3304.14,93.87,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.68,7.44,0,75.45,0
3305.14,93.84,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.68,7.44,0,75.46,0
3306.14,93.84,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.70,7.44,0,75.47,0
3307.14,93.87,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.70,7.44,0,75.47,0
3308.14,93.87,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.70,7.44,0,75.48,0
3309.14,93.84,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.70,7.44,0,75.49,0
3310.14,93.84,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.72,7.44,0,75.49,0
3311.14,93.86,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.72,7.44,0,75.50,0
3312.14,93.86,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.72,7.44,0,75.50,0
3313.14,93.84,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.72,7.44,0,75.51,0
3314.14,93.83,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.74,7.44,0,75.52,0
3315.14,93.84,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.74,7.44,0,75.52,0
3316.14,93.86,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.74,7.44,0,75.53,0
3317.14,93.84,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.74,7.44,0,75.54,0
3318.14,93.82,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.76,7.44,0,75.54,0
3319.14,93.85,14.42,123.2,89.0,106.8,0.979,36.42,6.38,67.9,532.76,7.44,0,75.55,0
3320.14,93.86,14.42,123.2,89.0,106.8,0.979,36.42,6.38,67.9,532.76,7.44,0,75.55,0
3321.14,93.83,14.42,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.76,7.44,0,75.56,0
3322.14,93.82,14.42,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.77,7.44,0,75.57,0
3323.14,93.83,14.42,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.77,7.44,0,75.57,0
3324.14,93.85,14.42,123.2,89.0,106.8,0.979,36.41,6.38,67.9,532.77,7.44,0,75.58,0
3325.14,93.83,14.42,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.77,7.44,0,75.58,0
3326.14,93.81,14.42,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.79,7.44,0,75.59,0
3327.14,93.82,14.42,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.79,7.44,0,75.60,0
3328.14,93.85,14.42,123.2,89.0,106.8,0.979,36.41,6.38,67.9,532.79,7.44,0,75.60,0
3329.14,93.84,14.42,123.2,89.0,106.8,0.979,36.41,6.38,67.9,532.79,7.44,0,75.61,0
3330.14,93.81,14.42,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.79,7.44,0,75.61,0
3331.14,93.81,14.42,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.80,7.44,0,75.62,0
3332.14,93.84,14.42,123.2,89.0,106.8,0.979,36.41,6.38,68.0,532.80,7.44,0,75.62,0
3333.14,93.84,14.42,123.2,89.0,106.8,0.979,36.41,6.38,68.0,532.80,7.44,0,75.63,0
3334.14,93.81,14.42,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.80,7.44,0,75.63,0
3335.14,93.81,14.42,123.2,89.0,106.8,0.979,36.41,6.37,68.0,532.81,7.44,0,75.64,0
3336.14,93.83,14.42,123.2,89.0,106.8,0.979,36.41,6.38,68.0,532.81,7.44,0,75.65,0
3337.14,93.83,14.42,123.2,89.0,106.8,0.979,36.41,6.38,68.0,532.81,7.44,0,75.65,0
3338.14,93.81,14.42,123.2,89.0,106.8,0.979,36.41,6.37,68.0,532.81,7.44,0,75.66,0
3339.14,93.80,14.35,123.2,89.0,106.8,0.979,36.41,6.37,68.0,532.78,7.44,0,75.66,0
3340.14,93.81,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,532.78,7.44,0,75.67,0
3341.14,93.83,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,532.78,7.44,0,75.67,0
3342.14,93.80,14.35,123.2,89.0,106.8,0.979,36.41,6.37,68.0,532.78,7.44,0,75.68,0
3343.14,93.79,14.35,123.2,89.0,106.8,0.979,36.41,6.37,68.0,529.08,7.44,0,75.68,0
3344.14,93.82,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,529.08,7.44,0,75.69,0
3345.14,93.83,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,529.08,7.44,0,75.69,0
3346.14,93.80,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,529.08,7.44,0,75.70,0
3347.14,93.79,14.35,123.2,89.0,106.8,0.979,36.41,6.37,68.0,529.08,7.44,0,75.70,0
3348.14,93.81,14.35,123.3,89.0,106.8,0.979,36.41,6.38,68.0,529.08,7.44,0,75.71,0
3349.14,93.82,14.35,123.3,89.0,106.8,0.979,36.41,6.38,68.0,529.08,7.44,0,75.71,0
3350.14,93.81,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.08,7.44,0,75.71,0
3351.14,93.78,14.35,123.3,89.0,106.8,0.979,36.41,6.37,68.0,529.08,7.44,0,75.72,0
3352.14,93.79,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.08,7.44,0,75.72,0
3353.14,93.82,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.08,7.44,0,75.73,0
3354.14,93.81,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.08,7.44,0,75.73,0
3355.14,93.78,14.35,123.3,89.1,106.8,0.979,36.41,6.37,68.0,529.08,7.44,0,75.74,0
3356.14,93.78,14.35,123.3,89.1,106.8,0.979,36.41,6.37,68.0,529.07,7.44,0,75.74,0
3357.14,93.81,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.07,7.44,0,75.74,0
3358.14,93.80,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.07,7.44,0,75.75,0
3359.14,93.78,14.35,123.3,89.1,106.8,0.979,36.41,6.37,68.0,529.07,7.44,0,75.75,0
3360.14,93.78,14.35,123.3,89.1,106.8,0.979,36.41,6.37,68.0,529.05,7.44,0,75.75,0
3361.14,93.79,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.05,7.44,0,75.76,0
3362.14,93.80,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.05,7.44,0,75.76,0
3363.14,93.78,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.05,7.44,0,75.76,0
3364.14,93.76,14.35,123.3,89.1,106.8,0.979,36.41,6.37,68.0,529.01,7.44,0,75.77,0
3365.14,93.78,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,529.01,7.44,0,75.77,0
3366.14,93.80,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,529.01,7.44,0,75.77,0
3367.14,93.77,14.35,123.3,89.1,106.9,0.979,36.41,6.37,68.0,529.01,7.44,0,75.78,0
3368.14,93.76,14.35,123.3,89.1,106.9,0.979,36.41,6.37,68.0,528.98,7.44,0,75.78,0
3369.14,93.78,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,528.98,7.44,0,75.78,0
3370.14,93.80,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,528.98,7.44,0,75.78,0
3371.14,93.77,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,528.98,7.44,0,75.79,0
3372.14,93.75,14.35,123.3,89.1,106.9,0.979,36.41,6.37,68.0,528.93,7.44,0,75.79,0
3373.14,93.76,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,528.93,7.44,0,75.79,0
3374.14,93.79,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,528.93,7.44,0,75.79,0
3375.14,93.77,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,528.93,7.44,0,75.80,0
3376.14,93.75,14.42,123.3,88.8,106.3,0.979,36.41,6.37,68.0,528.88,7.44,0,75.80,0
3377.14,93.75,14.42,122.8,88.1,106.4,0.979,36.41,6.44,68.7,528.88,7.44,0,75.80,0
